Usia : ;Gen;Domisili :;Jenis kelamin :;Pendapatan perbulan :;Status pernikahan :;Pekerjaan :;1. Super App Perbankan mana saja yang Kamu gunakan :;3. Seberapa sering Kamu menggunakan Super App Perbankan tersebut ?;5. Fitur apa saja sering Kamu gunakan dari Super App Perbankan tersebut ?;6. Permasalahan apa saja yang sering Kamu alami saat menggunakan Super App Perbankan ?
28;1;Depok;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
24;2;JAKARTA;0;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
30;1;JAKARTA;1;Kurang dari Rp5.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
33;1;Jombang;0;Kurang dari Rp5.000.000;0;Karyawan Swasta;BSI Mobile;Kadang-kadang;Transfer Uang;Banyaknya fitur yang tidak digunakan
21;2;JAKARTA;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BSI Mobile;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening;Banyaknya fitur yang tidak digunakan
21;2;Tangerang Selatan ;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Sering;Transfer Uang;Eror saat bertransaksi
21;2;Tangerang Selatan ;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Other
21;2;JAKARTA;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BNI Mobile Banking;Jarang;Cek Saldo dan Mutasi Rekening;Eror saat bertransaksi
20;2;Tangerang Selatan ;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Sering;Tarik uang;Jaringan yang sulit untuk provider tertentu
20;2;Depok;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
21;2;Bekasi;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BNI Mobile Banking;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Eror saat bertransaksi
21;2;Tangerang Selatan ;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet;Eror saat bertransaksi
34;1;JAKARTA;0;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang;Jaringan yang sulit untuk provider tertentu
35;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Terlalu banyaknya proses pada satu aktivitas transaksi
39;1;Tangerang;0;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;Livin Mandiri;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Other
40;1;Depok;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Livin Mandiri;Jarang;Transfer Uang;Jaringan yang sulit untuk provider tertentu
42;1;Tangerang;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;BNI Mobile Banking;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Eror saat bertransaksi
38;1;Tangerang Selatan ;1;Kurang dari Rp5.000.000;1;Ibu Rumah Tangga;Livin Mandiri;Sering;Transfer Uang, Pembayaran atau Pembelian;Other
34;1;Bogor;0;Rp10.000.000 - Rp20.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
38;1;Kabupaten Tangerang;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BriMo;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
40;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Wirausahawan;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Eror saat bertransaksi
31;1;Serang;1;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
28;1;Bekasi;1;Rp5.000.000 - Rp10.000.000;0;Tenaga Pendidik;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
35;1;JAKARTA;0;Rp5.000.000 - Rp10.000.000;0;Wirausahawan;Livin Mandiri;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Banyaknya fitur yang tidak digunakan
33;1;bogor;0;Rp20.000.000 - Rp35.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Banyaknya fitur yang tidak digunakan
55;0;Sukabumi;0;Rp5.000.000 - Rp10.000.000;1;Other;BCA Mobile;Sering;Transfer Uang;Jaringan yang sulit untuk provider tertentu
36;1;Banyuwangi;1;Rp5.000.000 - Rp10.000.000;1;Wirausahawan;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
34;1;Bekasi;1;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;Wokee;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet;Terlalu banyaknya proses pada satu aktivitas transaksi
30;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;0;Karyawan Swasta;Livin Mandiri;Selalu;Pembayaran menggunakan QR;Eror saat bertransaksi
31;1;Kota Tangerang;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
37;1;Depok;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
40;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;1;Other;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
30;1;Jambi;0;Kurang dari Rp5.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang;Jaringan yang sulit untuk provider tertentu
25;2;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
32;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Livin Mandiri;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Terlalu banyaknya proses pada satu aktivitas transaksi
39;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
38;1;Bogor;1;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;Allo bank;Sering;Transfer Uang, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
29;1;JAKARTA;0;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
27;1;Tangerang ;1;Rp5.000.000 - Rp10.000.000;1;Ibu Rumah Tangga;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Terlalu banyaknya proses pada satu aktivitas transaksi
39;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;Octo Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Other
45;0;Depok;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Permata Bank;Sering;Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet;Eror saat bertransaksi
45;0;Tangerang Selatan ;1;Rp10.000.000 - Rp20.000.000;1;Other;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
