"Usia : ","Gen","Domisili :","Jenis kelamin :","Pendapatan perbulan :","Status pernikahan :","Pekerjaan :","1. Super App Perbankan mana saja yang Kamu gunakan :","3. Seberapa 2 Kamu menggunakan Super App Perbankan tersebut ?","5. Fitur apa saja 2 Kamu gunakan dari Super App Perbankan tersebut ?","6. Permasalahan apa saja yang 2 Kamu alami saat menggunakan Super App Perbankan ?"
"28","1","Depok","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Banyaknya fitur yang tidak digunakan"
"24","2","Jakarta","Male","5000000-10000000","0","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"30","1","Jakarta","Female","<5000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"33","1","Jombang","Male","<5000000","0","Karyawan Swasta","BSI Mobile","1","Transfer Uang","Banyaknya fitur yang tidak digunakan"
"21","2","Jakarta","Female","<5000000","0","Pelajar/Mahasiswa","BSI Mobile","1","Transfer Uang, Cek Saldo dan Mutasi Rekening","Banyaknya fitur yang tidak digunakan"
"21","2","Tangerang Selatan ","Female","<5000000","0","Pelajar/Mahasiswa","BriMo","2","Transfer Uang","Eror saat bertransaksi"
"21","2","Tangerang Selatan ","Female","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Other"
"21","2","Jakarta","Female","<5000000","0","Pelajar/Mahasiswa","BNI Mobile Banking","0","Cek Saldo dan Mutasi Rekening","Eror saat bertransaksi"
"20","2","Tangerang Selatan ","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","2","Tarik uang","Jaringan yang sulit untuk provider tertentu"
"20","2","Depok","Female","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"21","2","Bekasi","Female","<5000000","0","Pelajar/Mahasiswa","BNI Mobile Banking","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Eror saat bertransaksi"
"21","2","Tangerang Selatan ","Female","<5000000","0","Pelajar/Mahasiswa","BriMo","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet","Eror saat bertransaksi"
"34","1","Jakarta","Male","5000000-10000000","0","Karyawan Swasta","BCA Mobile","2","Transfer Uang","Jaringan yang sulit untuk provider tertentu"
